0,0,33,9,14,0.643,0,3,0,1,2,0.5,3,8,11,14,0,1,4,3,19,27
0,1,39,7,16,0.438,2,6,0.333,5,7,0.714,2,6,8,7,0,0,5,2,21,0
0,0,39,7,16,0.438,2,6,0.333,7,11,0.636,1,5,6,9,1,1,2,2,23,1
0,0,36,6,12,0.5,1,3,0.333,6,10,0.6,3,10,13,8,0,0,4,4,19,15
0,0,37,12,22,0.545,1,4,0.25,5,5,1,1,6,7,12,1,0,2,2,30,18
0,1,36,9,23,0.391,1,5,0.2,6,7,0.857,1,7,8,14,2,1,5,1,25,11
0,0,37,8,17,0.471,2,5,0.4,5,5,1,2,7,9,5,3,0,1,3,23,7
0,1,39,9,18,0.5,3,4,0.75,6,9,0.667,0,10,10,5,2,2,6,1,27,7
0,0,39,8,21,0.381,2,5,0.4,1,2,0.5,0,8,8,8,1,1,3,0,19,23
0,0,39,10,15,0.667,2,5,0.4,6,10,0.6,0,9,9,15,1,0,5,2,28,2
0,0,29,9,14,0.643,1,3,0.333,2,3,0.667,0,3,3,3,0,1,2,1,21,21
0,0,38,11,21,0.524,2,3,0.667,7,8,0.875,1,9,10,13,3,0,3,0,31,17
0,0,30,6,13,0.462,2,5,0.4,5,5,1,0,5,5,11,1,0,4,1,19,33
0,1,42,9,19,0.474,1,4,0.25,7,9,0.778,2,8,10,13,1,0,5,0,26,2
0,1,33,8,16,0.5,3,8,0.375,3,7,0.429,0,4,4,4,0,0,7,3,22,-12
0,0,34,5,14,0.357,0,2,0,6,11,0.545,1,4,5,5,2,0,5,2,16,-20
0,1,45,13,22,0.591,1,3,0.333,0,0,0,0,5,5,13,0,0,8,2,27,-3
0,1,43,12,26,0.462,2,7,0.286,8,9,0.889,3,5,8,7,2,0,1,2,34,9
0,1,33,7,10,0.7,1,2,0.5,10,14,0.714,2,4,6,7,1,2,4,2,25,32
0,0,38,12,22,0.545,1,3,0.333,2,4,0.5,2,6,8,8,3,0,3,2,27,21
0,0,43,17,24,0.708,5,10,0.5,5,9,0.556,1,8,9,10,3,1,5,3,44,-2
0,0,37,9,17,0.529,0,4,0,5,8,0.625,1,5,6,8,3,0,6,1,23,8
0,0,39,9,18,0.5,2,5,0.4,6,11,0.545,1,6,7,9,2,2,2,1,26,17
0,1,48,12,25,0.48,5,9,0.556,5,6,0.833,3,9,12,7,1,1,2,2,34,8
0,0,35,12,24,0.5,4,7,0.571,1,1,1,1,8,9,6,0,0,2,0,29,26
0,0,28,7,16,0.438,0,3,0,5,6,0.833,1,4,5,6,3,0,1,0,19,33
0,0,41,12,22,0.545,4,8,0.5,3,7,0.429,5,8,13,4,2,1,5,2,31,4
0,0,44,9,18,0.5,2,6,0.333,3,7,0.429,2,6,8,11,1,3,8,2,23,1
0,1,36,12,25,0.48,4,8,0.5,4,6,0.667,2,4,6,9,1,0,1,1,32,17
0,0,39,9,21,0.429,0,4,0,8,10,0.8,2,5,7,6,2,1,4,1,26,-4
0,0,37,12,21,0.571,1,2,0.5,6,9,0.667,2,6,8,7,1,0,5,2,31,-31
0,1,36,14,20,0.7,0,1,0,8,10,0.8,0,9,9,6,3,0,5,2,36,20
0,1,40,11,17,0.647,2,4,0.5,4,6,0.667,3,5,8,4,1,0,7,3,28,-2
0,1,37,10,20,0.5,3,6,0.5,6,7,0.857,1,5,6,5,4,0,4,0,29,-8
0,1,31,5,12,0.417,2,5,0.4,8,9,0.889,1,10,11,4,1,1,5,1,20,-7
0,1,42,6,12,0.5,1,4,0.25,3,3,1,0,2,2,15,1,1,5,2,16,16
0,1,35,6,18,0.333,1,4,0.25,7,10,0.7,2,6,8,2,1,0,6,1,20,-32
0,0,40,8,12,0.667,0,2,0,5,8,0.625,0,9,9,15,1,2,4,2,21,14
0,0,46,11,16,0.688,2,5,0.4,5,7,0.714,0,6,6,7,2,0,7,5,29,-16
0,1,44,11,21,0.524,1,4,0.25,3,4,0.75,2,8,10,12,2,0,6,2,26,-10
0,0,45,8,15,0.533,0,3,0,8,11,0.727,4,9,13,11,2,1,5,3,24,-1
0,0,35,13,18,0.722,1,3,0.333,4,7,0.571,0,5,5,11,0,0,5,1,31,22
0,0,37,9,18,0.5,0,2,0,7,10,0.7,1,13,14,8,1,0,2,1,25,11
0,1,38,9,19,0.474,1,6,0.167,4,8,0.5,0,9,9,9,2,0,5,0,23,1
0,0,35,11,14,0.786,1,2,0.5,4,7,0.571,0,8,8,12,2,1,2,1,27,1
0,1,40,12,20,0.6,4,8,0.5,4,5,0.8,0,5,5,10,0,0,5,1,32,1
0,1,43,12,18,0.667,6,8,0.75,2,5,0.4,0,7,7,17,2,2,6,6,32,0
0,1,39,9,16,0.563,1,2,0.5,6,8,0.75,1,5,6,9,1,1,4,2,25,8
0,1,41,8,19,0.421,1,4,0.25,1,3,0.333,1,4,5,7,2,2,3,1,18,-4
0,0,34,11,16,0.688,1,1,1,4,4,1,0,5,5,12,2,0,6,1,27,26
0,1,40,10,14,0.714,2,3,0.667,3,6,0.5,1,7,8,14,0,0,6,3,25,10
0,0,33,12,17,0.706,4,5,0.8,3,4,0.75,0,5,5,4,1,0,4,2,31,-4
0,0,38,7,11,0.636,0,2,0,4,6,0.667,0,13,13,15,0,3,6,1,18,1
0,0,38,8,12,0.667,1,2,0.5,7,9,0.778,0,10,10,6,0,0,3,1,24,8
0,1,40,10,21,0.476,3,6,0.5,5,8,0.625,5,8,13,10,1,1,4,3,28,-3
0,1,40,14,27,0.519,6,10,0.6,4,8,0.5,1,12,13,8,0,0,2,4,38,5
0,0,39,11,22,0.5,2,5,0.4,6,10,0.6,3,14,17,6,1,1,3,2,30,14
0,1,40,12,22,0.545,0,6,0,5,8,0.625,4,10,14,10,1,0,3,1,29,18
0,1,38,8,14,0.571,2,5,0.4,6,10,0.6,0,12,12,12,0,1,4,3,24,12
0,1,41,12,20,0.6,4,11,0.364,2,3,0.667,0,7,7,5,2,0,8,2,30,-9
0,0,29,6,12,0.5,0,2,0,4,5,0.8,0,11,11,12,0,0,2,0,16,22
0,0,39,13,20,0.65,2,5,0.4,5,10,0.5,0,10,10,6,2,1,6,0,33,14
0,1,38,13,22,0.591,3,8,0.375,5,8,0.625,0,6,6,7,1,0,3,2,34,12
0,1,35,8,12,0.667,0,2,0,2,4,0.5,2,4,6,5,0,0,4,1,18,-30
0,1,40,9,14,0.643,0,1,0,14,16,0.875,0,9,9,11,1,2,4,2,32,1
0,0,41,10,21,0.476,0,4,0,4,6,0.667,3,8,11,8,0,1,3,2,24,-11
0,1,30,7,17,0.412,0,3,0,3,6,0.5,3,5,8,8,0,0,2,3,17,-13
0,1,40,11,20,0.55,1,7,0.143,3,7,0.429,1,9,10,8,1,1,4,0,26,-31
0,0,30,14,22,0.636,3,7,0.429,3,6,0.5,2,7,9,6,0,0,2,2,34,31
0,0,52,16,29,0.552,3,10,0.3,6,12,0.5,4,10,14,11,2,1,1,4,41,-1
0,0,38,7,14,0.5,0,3,0,4,6,0.667,1,10,11,11,2,1,6,2,18,17
0,1,39,14,22,0.636,1,4,0.25,7,7,1,2,8,10,6,1,2,3,3,36,32
0,0,42,12,15,0.8,1,2,0.5,2,6,0.333,1,7,8,7,2,0,5,0,27,-15
0,1,47,11,21,0.524,1,3,0.333,9,10,0.9,3,13,16,10,1,0,3,6,32,1
1,1,37,11,21,0.524,1,2,0.5,9,11,0.818,1,11,12,9,0,0,2,2,32,10
1,0,46,17,44,0.386,2,10,0.2,15,20,0.75,3,10,13,10,2,0,5,3,51,7
1,0,34,11,21,0.524,5,6,0.833,6,6,1,4,7,11,16,1,1,7,3,33,9
1,1,33,14,30,0.467,0,7,0,7,9,0.778,1,5,6,5,3,0,10,4,35,12
1,1,29,4,15,0.267,2,4,0.5,10,14,0.714,1,5,6,10,1,2,6,3,20,-9
1,0,29,9,18,0.5,4,5,0.8,6,8,0.75,2,4,6,8,3,0,2,3,28,22
1,0,27,5,16,0.313,1,6,0.167,3,3,1,2,3,5,11,0,0,5,2,14,24
1,0,39,9,26,0.346,3,12,0.25,15,18,0.833,2,5,7,7,1,2,8,2,36,-4
1,0,36,9,25,0.36,3,5,0.6,8,9,0.889,1,13,14,9,1,0,4,5,29,-5
1,0,38,14,21,0.667,0,3,0,13,18,0.722,2,10,12,16,0,0,2,2,41,9
1,1,34,11,21,0.524,0,2,0,11,12,0.917,2,13,15,8,0,0,7,4,33,-6
1,0,37,9,20,0.45,2,4,0.5,10,11,0.909,1,6,7,9,2,0,6,0,30,12
1,0,34,13,21,0.619,0,1,0,4,5,0.8,3,7,10,13,1,0,3,0,30,21
1,0,41,13,34,0.382,2,8,0.25,3,5,0.6,5,6,11,15,2,0,7,3,31,-16
1,1,36,13,30,0.433,4,9,0.444,4,5,0.8,3,5,8,13,2,0,8,3,34,9
1,1,36,7,18,0.389,1,5,0.2,16,19,0.842,1,10,11,9,2,0,3,1,31,-7
1,1,42,9,25,0.36,3,4,0.75,15,17,0.882,1,10,11,17,1,1,7,3,36,10
1,0,38,8,22,0.364,0,5,0,1,2,0.5,3,10,13,15,1,1,5,2,17,14
1,1,37,9,23,0.391,2,3,0.667,7,7,1,5,12,17,14,2,0,7,3,27,5
1,0,42,12,35,0.343,1,6,0.167,10,10,1,4,10,14,11,2,0,5,3,35,4
1,0,38,10,23,0.435,2,8,0.25,6,9,0.667,1,16,17,12,1,0,10,1,28,13
1,1,34,10,22,0.455,3,8,0.375,9,14,0.643,1,12,13,12,1,1,4,1,32,-4
1,0,36,8,25,0.32,0,7,0,11,12,0.846,2,9,11,7,1,0,4,2,46,-2
1,0,37,14,26,0.538,2,5,0.4,7,12,0.583,3,9,12,6,2,0,7,3,37,9
1,1,28,7,19,0.368,2,5,0.4,4,4,1,2,4,6,6,0,0,4,1,20,-10
1,1,31,7,25,0.28,2,5,0.4,11,13,0.846,1,5,6,5,1,0,5,4,27,-6
1,0,34,9,17,0.529,1,2,0.5,7,7,1,0,11,11,22,2,1,5,3,26,16
1,0,36,16,33,0.485,3,10,0.3,11,13,0.846,2,9,15,7,1,0,4,2,46,-2
1,1,34,12,26,0.462,2,7,0.286,16,18,0.889,1,9,10,7,1,0,4,2,42,-4
1,1,35,13,25,0.52,5,7,0.714,14,16,0.875,1,10,11,11,1,0,4,1,45,9
1,0,33,11,25,0.44,1,4,0.25,8,9,0.889,3,4,7,15,1,1,5,2,31,12
1,1,37,11,22,0.5,0,1,0,7,10,0.7,0,17,17,11,0,0,7,0,29,12
1,1,24,6,19,0.316,2,6,0.333,7,10,0.7,2,3,5,0,2,0,6,3,21,-11
1,0,29,6,11,0.545,0,2,0,5,6,0.833,0,12,12,14,2,0,1,0,17,26
1,1,36,9,28,0.321,2,10,0.2,10,11,0.909,0,7,7,6,3,0,5,3,30,3
1,1,34,10,31,0.323,2,12,0.167,11,13,0.846,3,12,15,8,2,1,4,5,33,-8
1,1,38,16,34,0.471,8,15,0.533,9,11,0.818,1,7,8,5,2,0,5,2,49,2
1,0,35,10,20,0.5,7,12,0.583,5,6,0.833,2,15,17,11,3,0,5,3,32,24
1,1,34,9,18,0.5,1,7,0.143,2,3,0.667,0,9,9,14,1,0,4,2,21,10
1,1,36,7,23,0.304,1,10,0.1,6,7,0.857,3,8,11,12,2,0,10,3,21,-10
1,1,36,11,21,0.524,4,5,0.8,10,11,0.909,2,9,11,10,4,0,7,1,36,-1
1,1,30,7,19,0.368,2,7,0.286,8,9,0.889,1,4,5,4,2,0,4,2,24,-20
1,1,36,8,23,0.348,1,6,0.167,10,11,0.909,4,11,15,13,2,2,10,5,27,-19
1,1,37,11,29,0.379,3,7,0.429,13,17,0.765,1,10,11,10,4,1,6,3,38,4
1,1,36,7,22,0.318,4,9,0.444,9,12,0.75,1,11,12,10,1,1,8,3,27,-1
1,0,36,16,29,0.552,4,8,0.5,9,11,0.818,1,7,8,3,2,0,4,2,45,19
1,1,37,7,26,0.269,1,6,0.167,5,8,0.625,5,7,12,10,1,1,4,3,20,-19
1,1,34,7,17,0.412,3,7,0.429,10,10,1,1,5,6,14,1,0,6,4,27,8
1,0,30,10,23,0.435,2,7,0.286,6,8,0.75,1,4,5,8,2,1,3,1,28,-23
1,0,38,8,20,0.4,5,7,0.714,17,17,1,2,11,13,12,3,0,5,2,38,17
1,0,36,16,34,0.471,1,6,0.167,9,11,0.818,1,3,4,8,0,0,4,3,42,7
1,1,38,10,27,0.37,4,10,0.4,3,4,0.75,2,16,18,9,1,2,4,3,27,1
1,0,36,11,27,0.407,2,6,0.333,5,5,1,1,11,12,11,4,0,7,4,29,3
1,0,38,14,26,0.538,3,10,0.3,16,18,0.889,1,10,11,8,1,0,11,5,47,-13
1,1,25,5,19,0.263,0,4,0,7,7,1,2,2,4,4,2,0,2,0,17,-36
1,0,38,13,22,0.591,3,5,0.6,9,13,0.692,3,11,14,12,3,1,6,0,38,13
1,0,36,4,18,0.222,1,5,0.2,8,9,0.889,2,16,18,17,3,0,6,1,17,19
1,0,37,14,29,0.483,2,8,0.25,11,12,0.917,2,9,11,11,1,0,9,2,41,4
1,1,37,12,36,0.333,6,16,0.375,15,15,1,2,5,7,4,1,1,4,0,45,-7
1,1,39,14,30,0.467,3,12,0.25,17,18,0.944,1,16,17,9,3,0,4,4,48,10
1,1,34,8,24,0.333,2,10,0.2,11,13,0.846,0,6,6,5,2,1,1,4,29,-14
1,0,36,21,39,0.538,3,9,0.333,13,16,0.813,1,2,3,9,3,1,4,4,58,7
1,0,36,7,21,0.333,1,6,0.167,8,9,0.889,3,10,13,13,2,0,3,2,23,12
1,0,37,9,26,0.346,3,10,0.3,12,13,0.923,1,10,11,14,2,2,5,1,33,12
1,1,35,6,18,0.333,2,7,0.286,11,13,0.846,1,11,12,19,2,1,5,3,25,7
1,1,28,8,17,0.471,4,8,0.5,4,4,1,0,10,10,16,1,0,2,2,24,26
1,0,36,9,20,0.45,4,9,0.444,6,7,0.857,3,5,8,10,4,0,7,1,28,13
1,0,28,4,16,0.25,1,6,0.167,6,7,0.857,0,8,8,7,2,0,5,4,15,-25
1,0,28,6,6,1,0,0,0,6,6,1,0,11,11,14,0,2,5,1,18,21
1,1,39,13,24,0.542,3,9,0.333,10,16,0.625,0,11,11,13,0,0,5,4,39,-14
1,1,37,15,30,0.5,2,9,0.222,5,5,1,0,13,13,10,2,0,6,0,37,12
1,1,42,21,40,0.525,6,15,0.4,9,11,0.818,3,10,13,11,3,0,7,3,57,8
1,0,37,8,22,0.364,2,7,0.286,14,15,0.933,2,13,15,12,0,0,8,1,32,-10
1,0,37,14,31,0.452,7,15,0.467,5,5,1,1,12,13,10,2,0,8,1,40,-6
1,0,28,4,12,0.333,2,4,0.5,2,2,1,3,10,13,13,2,0,3,2,12,19
1,0,38,14,25,0.56,8,13,0.615,9,12,0.75,0,9,9,10,4,0,7,4,45,2
1,1,37,6,25,0.24,2,12,0.167,9,9,1,6,6,12,8,0,1,8,5,23,-15
1,0,37,17,32,0.531,5,12,0.417,11,11,1,2,14,16,10,1,0,2,1,50,10
